	Note ESG
Elm Co. (Saudi Arabia)	26.3
EM Systems Co., Ltd.	21.1
Embracer Group AB	15.6
EML Payments Ltd.	18.7
Enad Global 7 AB	20.0
Endava Plc	14.2
Enea AB	21.3
Enfusion, Inc.	23.1
Engagesmart, Inc.	21.5
Enghouse Systems Ltd.	23.4
Envestnet, Inc.	24.5
EPAM Systems, Inc.	27.4
ePlus, Inc.	23.4
Esker SA	16.5
Etsy, Inc.	15.6
Euronet Worldwide, Inc.	21.4
Eventbrite, Inc.	27.6
Everbridge, Inc.	27.1
EverCommerce, Inc.	26.3
Everi Holdings, Inc.	18.2
EverQuote, Inc.	26.8
EVERTEC, Inc.	17.7
Ework Group AB	21.2
Exclusive Networks SA	17.9
ExlService Holdings, Inc.	12.0
Expedia Group, Inc.	22.1
Expensify, Inc.	24.3
F-Secure Oyj	18.2
F5, Inc.	16.3
FactSet Research Systems, Inc.	16.5
Fair Isaac Corp.	20.1
Fastly, Inc.	24.2
Fawry for Banking & Payment Technology Services SAE	26.9
FD Technologies Plc	20.4
FDM Group (Holdings) Plc	18.0
Fidelity National Information Services, Inc.	18.2
FINEOS Corporation Holdings Plc	20.5
Fiscalnote Holdings, Inc.	25.3
Fiserv, Inc.	17.5
Five9, Inc.	27.4
Fiverr International Ltd.	22.5
Fixstars Corp.	23.1
Flect Co., Ltd.	23.5
Flywire Corp.	19.6
Forge Global Holdings, Inc.	25.3
ForgeRock, Inc.	22.9
FormPipe Software AB	22.4
Formula Systems (1985) Ltd.	27.7
Forrester Research, Inc.	19.6
Fortinet, Inc.	15.8
Fortnox AB	25.3
Forum Engineering, Inc.	28.2
freee K.K.	25.2
Freshworks, Inc.	21.5
FTC Solar, Inc.	21.3
Fuji Soft, Inc.	23.9
Fujian Apex Software Co., Ltd.	29.5
Fujian Boss Software Corp.	29.1
Fujitsu Ltd.	12.5
Fukui Computer Holdings, Inc.	19.4
Full Truck Alliance Co., Ltd.	32.2
Future Corp.	20.8
G-Bits Network Technology (Xiamen) Co., Ltd.	16.1
G5 Entertainment AB	15.1
Gamania Digital Entertainment Co. Ltd.	18.7
Gaotu Techedu, Inc.	30.0
Gartner, Inc.	16.7
GB Group Plc	16.1
Gen Digital Inc.	14.6
Genimous Technology Co., Ltd.	34.2
Genpact Ltd.	13.8
Geovis Technology Co., Ltd.	28.9
GFT Technologies SE	18.5
Giant Network Group Co. Ltd.	17.8
giftee, Inc.	24.0
Gitlab, Inc.	21.1
Global Business Travel Group, Inc.	15.9
Global Dominion Access SA	16.0
Global Payments, Inc.	19.5
GlobalData Plc	26.7
Globant SA	15.7
GMO GlobalSign Holdings KK	26.0
GMO Internet Group, Inc.	22.7
GMO Payment Gateway, Inc.	20.7
GoDaddy, Inc.	19.0
Gogo, Inc.	27.7
GOLFZON Co., Ltd.	16.1
GoodRx Holdings, Inc.	27.0
Grab Holdings Ltd. (Singapore)	23.2
GREE, Inc.	25.8
Grid Dynamics Holdings, Inc.	31.6
Grindr, Inc.	21.7
Grupo de Moda Soma SA	22.1
Guangdong Aofei Data Technology Co., Ltd.	32.9
Guidewire Software, Inc.	13.4
GungHo Online Entertainment, Inc.	16.4
Gunosy, Inc.	24.7
Gurunavi, Inc.	30.7
Gushengtang Holdings Ltd.	26.8
Hancom, Inc.	27.4
Hand Enterprise Solutions Co., Ltd.	24.0
Hangzhou DPtech Technologies Co., Ltd.	25.2
Hangzhou Electronic Soul Network Technology Co., Ltd.	16.6
Hangzhou Shunwang Technology Co., Ltd.	30.3
Hansen Technologies Ltd.	22.9
Happiest Minds Technologies Ltd.	17.9
HashiCorp, Inc.	25.6
HCL Technologies Ltd.	10.6
Health Catalyst, Inc.	26.2
Hello Group, Inc.	25.3
Hemnet Group AB	23.6
HENNGE KK	24.4
Hexaware Technologies Ltd.	10.1
Hilan Ltd.	24.8
Hims & Hers Health, Inc.	22.9
Hinduja Global Solutions Ltd.	22.6
Hithink RoyalFlush Information Network Co., Ltd.	32.2
HomeToGo SE	14.7
Hubexo	21.7
HubSpot, Inc.	14.6
Hundsun Technologies, Inc.	21.0
Huuuge, Inc.	15.1
HUYA, Inc.	26.7
Hyundai Autoever Corp.	16.5
I.A.R. Systems Group AB	21.4
I'LL Inc.	23.1
i3 Verticals, Inc.	26.3
IAC, Inc.	25.6
iDreamSky Technology Holdings Ltd.	29.6
iFAST Corp. Ltd.	22.2
Iflytek Co., Ltd.	23.1
IGG, Inc.	13.8
IndiaMART InterMESH Ltd.	21.5
Indra Sistemas SA	11.8
INES Corp.	22.0
Info Edge India Ltd.	18.9
Infocom Corp.	20.3
Infomart Corp.	25.6
Infomedia Ltd.	18.2
Infor, Inc.	19.7
Informatica, Inc. (California)	17.5
Information Services Group, Inc.	26.5
Infosys Ltd.	14.0
Innodata, Inc.	23.8
InnovAge Holding Corp.	26.6
Instructure Holdings, Inc.	25.0
Intapp, Inc.	23.4
Integral Ad Science Holding Corp.	22.4
Intelbras SA Indústria de Telecomunicação Eletrônica Brasileir	23.5
Intellect Design Arena Ltd.	24.0
InterDigital, Inc.	21.7
International Business Machines Corp.	13.3
International Games System Co., Ltd.	14.1
Internet Initiative Japan, Inc.	22.8
Intuit, Inc.	16.8
Iress Ltd.	17.5
iSoftStone Information Technology (Group) Co., Ltd.	27.1
Jack Henry & Associates, Inc.	18.7
Jahez International Co. for Information Systems Technology	35.1
Jamf Holding Corp.	18.8
JFrog Ltd.	20.7
Jiangsu Hoperun Software Co., Ltd.	30.2
JMDC, Inc.	23.8
JOYY, Inc.	31.5
Just Dial Ltd.	23.3
Just Eat Takeaway.com NV	22.7
JustSystems Corp.	21.3
Kainos Group Plc	17.2
Kakaku.com, Inc.	23.4
Kakao Corp.	20.7
Kakao Games Corp.	12.5
kakaopay Corp.	18.5
Kaltura, Inc.	23.6
Kamakura Shinsho, Ltd.	24.6
Kanamic Network Co., LTD.	22.6
Kanematsu Electronics Ltd.	21.0
Kanzhun Ltd.	20.5
KBR, Inc.	18.0
KE Holdings, Inc.	23.6
Keep, Inc. (China)	28.4
Keywords Studios Plc	18.0
Kinaxis, Inc.	11.2
Kingdee International Software Group Co., Ltd.	19.9
Kingnet Network Co., Ltd.	16.9
Kingsoft Cloud Holdings Ltd.	28.5
Kingsoft Corp. Ltd.	20.3
Knowit AB	17.1
Koei Tecmo Holdings Co., Ltd.	18.2
KONAMI Group Corp.	19.1
KPIT Technologies Ltd.	18.8
KRAFTON, Inc	18.0
Kuaishou Technology	26.0
Kunlun Tech Co., Ltd.	18.1
Kyndryl Holdings, Inc.	16.6
L&T Technology Services Ltd.	12.8
Lakala Payment Co., Ltd.	24.8
Learning Technologies Group Plc	22.0
Lectra SA	18.6
Leidos Holdings, Inc.	17.3
LendingTree, Inc.	29.1
Leo Group Co., Ltd.	31.7
LGMS Bhd.	23.1
Life360, Inc.	26.3
Lightspeed Commerce, Inc.	15.2
Lime Technologies AB	20.7
Link Administration Holdings Ltd.	17.8
Linklogis, Inc.	18.6
Liquidity Services, Inc.	19.7
LITALICO, Inc. (7366)	30.7
LivePerson, Inc.	25.3
LiveRamp Holdings, Inc.	23.3
LiveVox Holdings, Inc.	24.9
Logility Supply Chain Solutions, Inc.	23.9
Logo Yazilim Sanayi ve Ticaret AS	17.2
Longshine Technology Group Co., Ltd.	23.5
Loop Media, Inc.	30.6
LTIMindtree Ltd.	21.5
Lumine Group, Inc.	31.9
Lunit, Inc.	27.7
LWSA SA	20.3
LY Corp.	18.0
Lyft, Inc.	21.1
m-up holdings, Inc.	26.1
Magic Software Enterprises Ltd.	28.6
Magnite, Inc.	24.9
Manhattan Associates, Inc.	17.2
Maoyan Entertainment	26.0
MarketWise, Inc.	23.2
Marqeta, Inc.	22.3
Marvelous, Inc.	18.2
Mastek Ltd.	14.9
Mastercard, Inc.	16.1
Match Group, Inc.	16.7
Matrix IT Ltd.	25.4
Matterport, Inc.	22.9
MEDIA DO Co., Ltd.	26.0
MediaAlpha, Inc.	21.0
Megaport Ltd.	24.0
Meituan	22.2
MercadoLibre, Inc.	22.6
Mercari, Inc.	24.9
MeridianLink, Inc.	21.5
Meta Platforms, Inc.	32.7
MIA Teknoloji AS	25.9
Micro Systemation AB	23.9
Microsoft Corp.	14.2
MicroStrategy, Inc.	31.1
Ming Yuan Cloud Group Holdings Ltd.	25.2
Miroku Jyoho Service Co., Ltd.	24.2
Mitek Systems, Inc.	18.8
Mitsubishi Research Institute, Inc.	19.3
MIXI, Inc.	24.4
Mobileye Global, Inc.	25.7
Mobvista, Inc.	25.3
Model N, Inc.	22.7
Modern Times Group MTG AB	15.9
monday.com Ltd.	18.2
Money Forward, Inc.	19.4
MongoDB, Inc.	17.2
Mony Group Plc	17.4
Mphasis Ltd.	19.8
MTI Ltd.	23.9
My E.G. Services Bhd.	20.2
mySafety Group AB	29.9
N-able, Inc.	22.7
Nagarro SE	23.9
Naspers Ltd.	16.3
NAVER Corp.	15.0
Navinfo Co., Ltd.	24.3
Nayax Ltd. (Israel)	27.8
Nazara Technologies Ltd.	15.5
NCC Group Plc	13.3
nCino, Inc.	17.7
NCR Atleos Corp.	22.2
NCsoft Corp.	12.9
NEC Networks & System Integration Corp.	17.2
Nemetschek SE	16.2
NeoGames SA	27.4
NEOWIZ Co., Ltd.	19.0
NerdWallet, Inc.	23.0
Nerdy, Inc.	30.1
Net One Systems Co., Ltd.	19.7
NET Power, Inc.	23.0
Netcompany Group A/S	13.4
NetDragon Websoft Holdings Ltd.	16.3
NetEase, Inc.	16.1
Netmarble Corp.	17.3
NetScout Systems, Inc.	18.4
Network International Holdings Plc	17.7
Neurones SA	22.1
Neusoft Corp.	24.9
New Relic, Inc.	20.7
New Work SE	27.6
Newland Digital Technology Co., Ltd.	28.0
Nexi SpA	19.1
NEXON Co., Ltd.	18.3
Nexon Games Co., Ltd.	26.9
Nextdoor Holdings, Inc.	28.1
NextNav, Inc.	26.7
NHN Corp.	25.4
NHN KCP Corp.	23.4
NICE Holdings Co., Ltd.	32.0
NICE Ltd. (Israel)	13.8
NIIT Ltd.	22.1
Nintendo Co., Ltd.	15.7
NNIT A/S	19.7
Nomura Research Institute Ltd.	14.9
Northern Data AG	26.2
Novotek AB	20.9
NS Solutions Corp.	19.3
NSD Co., Ltd.	25.4
NSFOCUS Technologies Group Co., Ltd.	24.6
NTT DATA Group Corp.	17.7
Nuix Ltd.	23.5
Nutanix, Inc.	19.1
Nuvei Corp.	19.1
OBIC Business Consultants Co., Ltd.	23.1
OBIC Co. Ltd.	21.5
Objective Corp. Ltd.	23.6
ODDITY Tech Ltd.	23.0
Okta, Inc.	12.9
Olo, Inc.	23.0
ON24, Inc.	17.6
One 97 Communications Ltd.	25.7
One Software Technologies Ltd.	23.5
OneSpan, Inc.	16.4
Open Door, Inc.	28.6
Open Lending Corp.	23.0
Open Text Corp.	16.8
OppFi, Inc.	23.6
OPTiM Corp.	25.7
Oracle Corp Japan	17.9
Oracle Corp.	14.9
Oracle Financial Services Software Ltd.	14.7
oRo Co., Ltd.	21.0
OTSUKA CORP.	22.1
Ourpalm Co., Ltd.	17.5
Outbrain, Inc.	24.5
OVH Groupe SAS	14.2
Pagaya Technologies Ltd.	23.5
PagerDuty, Inc.	19.1
PagSeguro Digital Ltd.	18.3
Palantir Technologies, Inc.	22.3
Palo Alto Networks, Inc.	12.9
Paradox Interactive AB	15.5
Parsons Corp.	19.3
Paychex, Inc.	16.7
Paycom Software, Inc.	18.9
Paycor HCM, Inc.	16.2
Paylocity Holding Corp.	22.5
Payoneer Global, Inc.	27.6
PayPal Holdings, Inc.	16.4
PayPoint Plc	20.4
Paysafe Ltd.	23.5
PB Fintech Ltd.	26.1
PChome Online, Inc.	28.0
PCI Technology Group Co., Ltd.	25.9
PearlAbyss Corp.	11.7
Pegasystems, Inc.	24.8
Perfect Presentation for Commercial Services Co.	24.4
Perfect World Co., Ltd.	18.6
Perficient, Inc.	22.3
Perion Network Ltd.	25.7
Persistent Systems Ltd.	17.2
PEXA Group Ltd.	19.4
Phreesia, Inc.	23.4
Pinterest, Inc.	18.4
PKSHA Technology, Inc.	25.0
PlayAGS, Inc.	15.0
PLAYSTUDIOS, Inc.	25.6
Plus Alpha Consulting Co., Ltd.	26.2
Pole To Win Holdings, Inc.	26.1
POSCO DX Co., Ltd.	17.7
