	Note ESG
Rashtriya Chemicals & Fertilizers Ltd.	42.8
Red Avenue New Materials Group Co., Ltd.	34.7
Resonac Holdings Corp.	29.6
Rianlon Corp.	32.1
Riken Technos Corp.	30.4
Robertet SA	31.3
Rongsheng Petrochemical Co., Ltd.	30.8
Rossari Biotech Ltd.	28.2
RPM International, Inc.	32.5
SABIC Agri-Nutrients Co.	41.2
Sahara International Petrochemical Co.	28.1
Sakai Chemical Industry Co., Ltd.	38.5
Sakata Inx Corp.	34.1
San Fu Chemical Co., Ltd.	24.1
Sanyo Chemical Industries Ltd.	37.1
Sasa Polyester Sanayi AS	15.4
Sasol Ltd.	30.3
Satellite Chemical Co., Ltd.	33.3
Saudi Basic Industries Corp.	24.1
Saudi Chemical Co.	37.1
Saudi Industrial Investment Group	37.0
Saudi Kayan Petrochemical Co.	35.5
Scientex Bhd.	18.4
Scotts Miracle-Gro Co.	37.3
Sekisui Kasei Co., Ltd.	31.0
Sensient Technologies Corp.	27.9
Shaanxi Beiyuan Chemical Industry Group Co., Ltd.	33.5
Shandong Dawn Polymer Co., Ltd.	30.1
Shandong Dongyue Silicone Material Co., Ltd.	33.3
Shandong Head Group Co., Ltd.	32.9
Shandong Hualu-Hengsheng Chemical Co., Ltd.	30.2
Shandong Jincheng Pharmaceutical Group Co., Ltd.	36.7
Shandong Jinjing Science & Technology Stock Co., Ltd.	37.5
Shandong Weifang Rainbow Chemical Co., Ltd.	40.7
Shanghai Chlor-Alkali Chemical Co., Ltd.	29.9
Shanghai Haoyuan Chemexpress Co. Ltd.	35.3
Shanghai Huayi Group Corp. Ltd.	34.9
Shanghai PRET Composites Co. Ltd.	36.6
Sharda Cropchem Ltd.	44.1
Sheela Foam Ltd.	33.4
Shenzhen Capchem Technology Co., Ltd.	30.8
Shenzhen Dynanonic Co., Ltd.	31.1
Shida Shinghwa Advanced Material Group Co., Ltd.	31.4
Shikoku Kasei Holdings Corp.	32.9
Shin Foong Specialty & Applied Materials Co., Ltd.	23.5
Shin-Etsu Chemical Co., Ltd.	26.3
Shin-Etsu Polymer Co., Ltd.	27.6
Shinkong Synthetic Fibers Corp.	25.5
Shiny Chemical Industrial Co., Ltd.	28.1
Sichuan Development Lomon Co., Ltd.	48.1
Sichuan Hebang Biotechnology Co., Ltd.	53.1
Sichuan Yahua Industrial Group Co., Ltd.	35.9
SICIT Group SpA	23.6
Sidi Kerir Petrochemicals	28.0
Sika AG	21.6
Sinochem Group Co., Ltd.	39.3
Sinochem International Corp.	35.1
Sinofert Holdings Ltd.	41.7
Sinon Corp.	38.4
Sinopec Shanghai Petrochemical Co., Ltd.	30.1
SK Chemicals Co. Ltd.	29.9
SKC Co., Ltd.	23.1
SKSHU Paint Co., Ltd.	40.5
Sociedad Quimica y Minera de Chile SA	27.7
SOL SpA	17.4
Solar Applied Materials Technology Corp.	36.5
Solar Industries India Ltd.	25.1
Solvac SA	35.5
Solvay SA	25.1
SONGWON INDUSTRIAL Co., Ltd.	36.6
Soulbrain Co., Ltd.	20.0
Soulbrain Holdings Co., Ltd.	34.5
SRF Ltd.	33.2
Sri Trang Agro-Industry Public Co. Ltd.	22.5
Stella Chemifa Corp.	36.3
Stepan Co.	29.0
Sumitomo Bakelite Co., Ltd.	27.0
Sumitomo Chemical Co., Ltd.	27.6
Sumitomo Chemical India Ltd.	28.5
Sumitomo Seika Chemicals Co., Ltd.	38.8
Sunresin New Materials Co., Ltd.	35.3
Supreme Industries Ltd.	19.6
Supreme Petrochem Ltd.	22.4
Swancor Holding Co., Ltd.	33.5
Syensqo NV	29.1
Symrise AG	18.0
Syngenta AG	35.5
Synthomer Plc	29.2
T. Hasegawa Co., Ltd.	35.4
Taekwang Industrial Co., Ltd.	31.7
Taiwan Fertilizer Co., Ltd.	36.2
Taiwan Styrene Monomer Corp.	25.8
Taiyo Holdings Co., Ltd.	39.2
