	Note ESG
Guotai Junan Securities Co., Ltd.	26.1
Guoyuan Securities Co., Ltd.	29.4
Haci Ömer Sabanci Holding AS	13.9
Haitong International Securities Group Ltd.	30.4
Haitong Securities Co., Ltd.	28.4
HAL Trust	17.1
Hamilton Lane, Inc.	30.9
HANWHA INVESTMENT & SECURITIES Co., Ltd.	24.6
Hargreaves Lansdown Plc	14.3
Havsfrun Investment AB	39.5
HDFC Asset Management Co. Ltd.	23.9
Hellenic Exchanges-Athens Stock Exchange SA	23.3
HMC Capital Ltd.	28.5
Hoist Finance AB	29.5
Home First Finance Company India Ltd.	16.2
Hong Kong Exchanges & Clearing Ltd.	17.8
Hong Leong Finance Ltd.	25.7
Hongta Securities Co., Ltd.	33.3
Hotai Finance Co., Ltd.	23.3
Houlihan Lokey, Inc.	26.1
HuaAn Securities Co., Ltd.	31.1
Huatai Securities Co., Ltd.	23.5
HUAXI Securities Co., Ltd.	33.2
HUB24 Ltd.	18.9
Humm Group Ltd.	29.4
Hungarian Export Import Bank Plc	27.9
Hutchison Whampoa Ltd.	19.2
Hyundai Capital Canada, Inc.	22.1
IBF Financial Holdings Co., Ltd.	29.4
Ichiyoshi Securities Co., Ltd.	29.7
ICICI Securities Ltd.	29.5
IDFC Ltd.	27.5
IG Group Holdings plc	21.8
IGM Financial, Inc.	16.6
IIFL Finance Ltd.	25.9
Impax Asset Management Group Plc	23.2
Indian Energy Exchange Ltd.	18.8
Indian Railway Finance Corp. Ltd.	28.9
Industrivärden AB	14.4
Infratil Ltd.	8.5
Insignia Financial Ltd.	30.6
Integrafin Holdings Plc	20.6
Integrated Design & Engineering Holdings Co., Ltd.	32.3
Interactive Brokers Group, Inc.	26.9
Intercontinental Exchange, Inc.	18.2
Intercorp Peru Ltd.	20.6
Intermediate Capital Group Plc	13.0
International Money Express, Inc.	33.6
International Personal Finance Plc	17.5
International Public Partnerships Limited	30.0
Intrum AB	14.3
Inversiones La Construccion SA	14.9
Invesco Ltd.	21.2
InvestCo Holding AS	39.6
Investment AB Latour	16.6
Investment AB Öresund	14.5
Investor AB	11.9
IP Group Plc	13.7
Is Finansal Kiralama AS	27.5
Is Yatirim Menkul Degerler AS	31.7
Isracard Ltd.	19.7
Italmobiliare SpA	9.1
Itausa SA	12.8
ITE Management LP	36.0
Ittihad International Ltd.	31.3
J Trust Co., Ltd.	31.2
JAB Holding Co. SARL	4.2
JACCS Co., Ltd.	28.4
Jackson Financial, Inc.	24.1
JAFCO Group Co., Ltd.	31.2
Janus Henderson Group Plc	15.2
Japan Exchange Group, Inc.	19.3
Japan Expressway Holding & Debt Repayment Agency	29.6
Japan Finance Corp.	26.1
Japan Housing Finance Agency	25.8
Japan International Cooperation Agency	25.7
Japan Securities Finance Co., Ltd.	32.3
Jefferies Financial Group, Inc.	26.5
Jigsaw Funding Plc	35.6
JM Financial Ltd.	31.7
JMT Network Services Public Co. Ltd.	23.5
John Deere Financial Ltd.	19.0
Jonah Energy Abs I LLC	32.1
JSE Ltd.	21.9
JTC Plc	24.8
Julius Bär Gruppe AG	15.8
Jupiter Fund Management Plc	14.5
Karolinska Development AB	32.5
Kaspi.kz JSC	36.0
KB Capital Co., Ltd.	25.7
KB Kookmin Card Corp.	17.7
KB Securities Co., Ltd.	21.2
KBC Ancora SCA	33.7
Kimbell Royalty Partners LP	42.6
Kinnevik AB	7.9
KIWOOM Securities Co., Ltd.	33.2
KKR & Co., Inc.	22.0
Korea Investment & Securities Co., Ltd.	17.3
Korea Investment Holdings Co., Ltd.	27.2
KRUK SA	21.0
KrungThai Card Public Co. Ltd.	14.1
Kubota Credit Corporation U.S.A., Inc.	29.9
Kuwait Projects Co. (Holding) KSCP	18.1
Kyokuto Securities Co., Ltd.	32.4
L&T Finance Ltd.	16.1
La Caisse de Refinancement de l'Habitat SA	30.7
Land Berlin Senatsverwaltung für Finanzen	35.1
Latitude Group Holdings Ltd.	29.1
Lazard, Inc.	22.8
LDR Turizm AS	30.6
LE Lundbergföretagen AB	18.1
LendingClub Corp.	24.3
Leonteq AG	13.0
Lexinfintech Holdings Ltd.	23.9
Liberty Costa Rica Senior Secured Finance	36.0
Liberty Financial Group Ltd. (Australia)	31.8
Libra (Longhurst Group) Treasury No. 2 Plc	31.2
Limbach Holdings, Inc.	26.5
Linc AB	28.3
Liontrust Asset Management Plc	17.9
Lloyds Bank Corporate Markets Plc	20.2
London Stock Exchange Group Plc	16.5
Lonsdale Finance Pty Ltd.	36.0
Lotte Corp.	13.6
LOTTE Rental Co., Ltd.	24.9
LPL Financial Holdings, Inc.	19.7
Lufax Holding Ltd.	20.9
Lumi Rental Co.	31.0
LX Holdings Corp.	29.6
M&A Capital Partners Co. Ltd.	34.9
M&A Research Institute Holdings, Inc.	37.9
M&G Credit Income Investment Trust Plc	34.6
M&G Plc	18.5
MA Financial Group Ltd.	31.4
Macquarie Group Ltd.	22.8
Magellan Capital Holdings PLC	31.3
Magellan Financial Group Ltd.	18.6
Mahindra & Mahindra Financial Services Ltd.	17.0
Main Street Capital Corp	28.1
Mamoura Diversified Global Holding PJSC	30.3
Man Group Plc (Jersey)	16.2
Manappuram Finance Ltd.	21.4
Mandatum Oyj	13.6
Mangold AB	31.1
Marex Group PLC	27.1
MarketAxess Holdings, Inc.	13.9
Marusan Securities Co., Ltd.	34.6
MAS Financial Services Ltd.	27.4
Matsui Securities Co., Ltd.	33.3
Medco Bell Pte Ltd.	25.1
Mediobanca Banca di Credito Finanziario SpA	13.5
MERITZ Financial Group, Inc.	30.9
MERITZ SECURITIES Co., Ltd.	31.6
Metro Pacific Investments Corp.	12.9
MFC Asset Management Public Co., Ltd.	31.8
Mirae Asset Securities Co., Ltd.	20.3
Mitsubishi HC Capital Inc.	24.6
Mizuho Leasing Co., Ltd.	33.0
Moat Homes Finance Plc	26.6
Moelis & Co.	26.8
MOG Digitech Holdings Ltd.	31.8
Molten Ventures Plc	9.3
Moltiply Group SpA	24.8
Monex Group, Inc.	20.8
Moody's Corp.	14.6
Morgan Stanley	24.8
Motability Operations Group Plc	13.8
Motilal Oswal Financial Services Ltd.	32.1
MSCI, Inc.	14.4
Muangthai Capital Public Co. Ltd.	17.6
Multi Commodity Exchange of India Ltd.	20.2
Multiply Group PJSC	16.0
Muskrat Falls/Labrador Transmission Assets Funding Trust	36.0
Muthoot Finance Ltd.	25.8
Nanjing Securities Co., Ltd.	31.3
Nasdaq, Inc.	13.6
National Investments Co. KSC	37.5
National Treasury Management Agency	29.0
NatWest Markets Plc	15.4
Navient Corp.	29.6
Navigator Global Investments Ltd.	32.4
NAXS AB (publ)	35.4
Nayifat Finance Co.	27.6
NB Private Equity Partners Ltd.	18.3
Nelnet, Inc.	26.1
Netwealth Group Ltd.	20.7
Ngern Tid Lor Public Co., Ltd.	25.9
NH Investment & Securities Co., Ltd.	30.0
NICE Information Service Co., Ltd.	26.6
Niedersachsen Invest GmbH	35.1
Nihon M&A Center Holdings Inc.	27.3
Ninety One Ltd.	26.1
Ninety One Plc	18.5
Nippon Active Value Fund Plc	33.4
Nippon Life India Asset Management Ltd.	19.6
Nissan Motor Acceptance Co. LLC	25.1
Noah Holdings Ltd.	22.7
Nomura Holdings, Inc.	18.9
Norte Grande SA	40.1
Northeast Securities Co., Ltd.	34.9
Northern Trust Corp.	24.9
NorthwestConnect Holdings, Inc.	31.3
Nowlake Technology LLC	38.8
NSW Electricity Networks Finance Pty Ltd.	31.3
Nu Holdings Ltd.	24.8
Nuvama Wealth Management Ltd.	27.9
Nuveen LLC	26.9
NZX Ltd.	25.0
OFX Group Ltd.	19.3
Okasan Securities Group, Inc.	37.3
OMERS Administration Corp.	24.5
OMERS Realty Corp.	22.8
Omni Bridgeway Ltd.	25.6
OneMain Holdings, Inc.	14.8
ONEX Corp.	29.2
Ontario Electricity Financial Corp.	35.1
Ontario Pension Board	24.7
Operadora de Servicios Mega SA de CV	26.9
Orient Corp.	28.1
Orient Securities Co., Ltd.	29.5
ORIX Corp.	18.7
Oyak Yatirim Menkul Degerler AS	37.2
P10, Inc.	37.1
PACCAR Financial Pty Ltd.	21.4
Pantheon Infrastructure Plc	34.0
Partners Group Holding AG	22.0
Patria Investments Ltd.	33.6
PD Sukuk Ltd.	31.3
PDS Ltd.	27.0
PenArian Housing Finance PLC	31.3
PensionBee Group Plc	22.1
Pepper Money Ltd.	22.1
Perella Weinberg Partners	33.4
Perpetual Ltd.	20.2
Petershill Partners PLC	27.7
Peugeot Invest SA	17.7
Ping an Real Estate Co., Ltd.	17.4
Pinnacle Investment Management Group Ltd.	24.9
Piper Sandler Cos.	27.5
Piramal Enterprises Ltd.	11.6
PJT Partners, Inc.	25.6
Platform HG Financing Plc	25.7
Platinum Asset Management Ltd.	24.4
Plus500 Ltd.	18.6
Polar Capital Holdings Plc	26.4
Poonawalla Fincorp Ltd.	24.4
Porsche Automobil Holding SE	22.3
PRA Group, Inc.	23.8
President Securities Corp.	22.7
PROG Holdings, Inc.	18.4
Prospect Capital Corp.	37.6
Prudent Corporate Advisory Services Ltd.	31.6
PSG Financial Services Ltd.	31.3
PSP Capital, Inc.	26.3
PT BFI Finance Indonesia Tbk	26.5
PT Bursa Efek Indonesia	20.5
PT Capital Financial Indonesia Tbk	37.6
PT Saratoga Investama Sedaya Tbk	29.4
Qifu Technology. Inc.	19.8
Qliro AB	24.8
Qualitas Ltd.	30.0
Quilter Plc	21.0
Ratchthani Leasing Public Co., Ltd.	26.2
Rathbones Group Plc	18.6
Ratos AB	31.5
Raymond James Financial, Inc.	26.7
RCI Banque SA	9.7
Record Plc	29.3
Regional Management Corp.	18.9
Reinet Investments SCA	21.6
Remgro Ltd.	14.7
Resolution Funding Corp.	31.3
Resurs Holding AB	19.6
Ricoh Leasing Co., Ltd.	26.2
Riot Platforms, Inc.	34.4
Robinhood Markets, Inc.	26.8
S&P Global, Inc.	11.5
S&U Plc	25.4
Sagicor Financial Co. Ltd.	32.7
Sammons Financial Group, Inc.	35.0
Samruk-Kazyna Sovereign Wealth Fund JSC	22.9
Samsung Card Co., Ltd.	19.6
Samsung Securities Co., Ltd.	27.1
Santander Consumer Finance SA	10.5
Saudi Tadawul Group Holding Co.	34.8
SBFC Finance Ltd.	26.3
SBI Cards & Payment Services Ltd.	16.5
SBI Holdings, Inc.	31.5
Schroder European Real Estate Investment Trust Plc	25.9
Schroders Plc	14.6
Sculptor Capital Management, Inc.	33.3
SDIC Capital Co., Ltd.	35.1
Sealand Securities Co., Ltd.	35.0
SEI Investments Co.	20.5
Seibu Holdings, Inc.	17.9
Self-Governing Dependency of the Isle of Man	14.5
Shaanxi International Trust Co., Ltd.	37.0
Shandong Finance Investment Group Co., Ltd.	36.0
Shandong Hi-Speed Holdings Group Ltd.	32.2
Shanghai Commercial Bank Ltd.	28.7
Shanxi Securities Co., Ltd.	34.0
Shenwan Hongyuan (International) Group Co., Ltd.	28.0
Shenwan Hongyuan Group Co., Ltd.	32.3
Shinhan Card Co., Ltd.	18.3
Shinyoung Securities Co., Ltd.	40.5
SHL Finance Co.	31.9
Shriram Finance Ltd.	20.1
Silfin NV	36.0
Silvercrest Asset Management Group, Inc.	35.7
Singapore Exchange Ltd.	19.7
Sinolink Securities Co., Ltd.	26.7
SIX Group AG	18.8
SK Securities Co., Ltd.	32.5
SK Square Co. Ltd.	20.5
SLM Corp.	21.0
Sociedad de Inversiones Oro Blanco SA	39.3
SoFi Technologies, Inc.	24.7
Sofina SA	10.6
Solvar Ltd.	22.3
Soochow Securities Co., Ltd.	31.5
South Plains Financial, Inc. (Texas)	32.9
Southwest Securities Co., Ltd.	33.5
SP Group Treasury Pte Ltd.	27.9
SPARX Group Co., Ltd.	22.0
Sprott, Inc.	27.7
Srisawad Corp. Public Co. Ltd.	23.2
SSL Finance, Inc.	36.0
St. James's Place Plc	17.1
Star Holdings (United States)	37.3
Starwood European Real Estate Finance Ltd.	33.9
State Street Corp.	22.0
StepStone Group, Inc.	22.4
Stifel Financial Corp.	26.0
StoneX Group, Inc.	35.9
STRIKE Co., Ltd.	34.9
Sumitomo Mitsui Finance & Leasing Co., Ltd.	21.3
Sun Hung Kai & Co. Ltd.	24.5
Sundaram Finance Ltd.	23.2
Svolder AB	16.9
Swissquote Group Holding Ltd.	18.5
SWK Holdings Corp.	26.3
SY Holdings Group Ltd.	29.1
Synchrony Financial	16.5
System1, Inc.	33.4
T. Rowe Price Group, Inc.	17.4
Tamburi Investment Partners SpA	14.2
Tata Investment Corp. Ltd.	28.6
Taylor Maritime Investments Ltd.	32.8
The Bank of New York Mellon Corp.	19.9
The Caisse de dépôt et placement du Québec	21.2
The Carlyle Group Inc.	23.2
The Charles Schwab Corp.	23.3
The Church Commissioners for England	33.0
The Goldman Sachs Group, Inc.	25.2
The Guinness Partnership Ltd.	27.0
The Tel Aviv Stock Exchange Ltd.	24.2
Theeb Rent a Car Co.	30.6
THP Partnership	36.0
Tianfeng Securities Co., Ltd.	35.6
Tikehau Capital SCA	12.2
TMX Group Ltd.	20.0
Tokai Tokyo Financial Holdings, Inc.	36.7
Tokyo Century Corp.	17.2
Toyota Auto Receivables 2023-C Owner Trust	31.3
Toyota Credit Canada, Inc.	21.9
Toyota Finance Corp.	22.5
Toyota Motor Credit Corp.	28.5
TP ICAP Group Plc	22.6
TPG, Inc.	26.1
TR Property Investment Trust plc	20.3
Traction AB	36.9
Tradeweb Markets, Inc.	15.8
Transaction Capital Ltd.	22.1
Trisummit Cycle Holding, Inc.	28.2
Tyro Payments Ltd.	23.6
UBS AG (Australia Branch)	23.4
UBS Group AG	26.8
Ujjivan Financial Services Ltd.	26.2
Unifin Financiera SAB de CV SOFOM ENR	27.4
University of Ottawa	29.5
UOB-Kay Hian Holdings Ltd.	33.6
UP Fintech Holding Ltd.	33.9
UTI Asset Management Co. Ltd.	24.7
Value Line, Inc.	30.5
Value Partners Group Ltd.	26.7
Van Lanschot Kempen NV	14.5
Vanquis Banking Group Plc	21.9
VEF AB	17.6
VENN Partners LLP	20.2
Verra Mobility Corp.	33.3
VH Global Sustainable Energy Opportunities Plc	26.6
Victoria Power Networks (Finance) Pty Ltd.	36.0
Victory Capital Holdings, Inc.	25.7
VIOL Co., Ltd. (New)	39.0
Virtu Financial, Inc.	31.2
Virtus Investment Partners, Inc.	33.0
Viterra Finance BV	24.1
VNV Global AB	28.5
Volati AB	33.6
Volkswagen Financial Services AG	15.2
Vontobel Holding AG	16.5
Voya Financial, Inc.	15.6
VP Bank AG	29.7
VW Credit Canada, Inc.	19.1
VZ Holding AG	25.6
Waha Capital PJSC	32.8
WAM Global Ltd.	36.0
Washington H. Soul Pattinson & Co. Ltd.	12.9
WealthNavi, Inc.	31.2
Wendel SE	9.1
Western Securities Co., Ltd.	35.6
WisdomTree, Inc.	29.6
World Acceptance Corp.	24.7
World Omni Automobile Lease Securitization Trust 2023-A	31.3
Xiangcai Co., Ltd.	19.2
XPS Pensions Group Plc	28.7
XTB SA	31.2
Yangzijiang Financial Holding Ltd.	30.8
Yixin Group Ltd.	26.9
Yorkshire Housing Finance Plc	21.0
Yuanta Financial Holding Co. Ltd.	13.2
Yuanta Securities Korea Co., Ltd.	28.0
Yulon Finance Corp.	23.8
Zeder Investments Ltd.	33.4
Zhejiang Orient Financial Holdings Group Co., Ltd.	35.4
Zhejiang Provincial New Energy Investment Group Co., Ltd.	36.4
Zheshang Securities Co., Ltd.	35.1
Zhongtai Securities Co., Ltd.	32.7
Zip Co. Ltd.	23.4
