	Note ESG
University of Technology Sydney	13.5
University of Toronto	15.6
University of Washington	16.2
University of Western Ontario	15.2
University of Western Sydney	13.1
University of Windsor	13.1
University of Wollongong	12.8
Vail Resorts, Inc.	26.8
Verisure Holding AB	8.9
Verisure Midholding AB	7.0
Watami Co., Ltd.	30.2
Westlife Foodworld Ltd.	31.4
Whitbread Plc	17.9
Wilfrid Laurier University	16.9
Wingstop, Inc.	28.4
Wonderla Holidays Ltd.	28.0
Wowprime Corp.	28.4
WW International, Inc.	16.2
Wyndham Hotels & Resorts, Inc.	21.5
Wynn Macau Ltd.	27.5
Wynn Resorts Ltd.	25.0
Xiabuxiabu Catering Management (China) Holdings Co., Ltd.	33.6
XJ International Holdings Co., Ltd.	19.7
Xponential Fitness, Inc.	36.7
Yale University	14.6
YDUQS Participaçoes SA	14.6
York University	13.3
Yoshinoya Holdings Co., Ltd.	34.5
Young & Co.'s Brewery Plc	31.7
Yum China Holdings, Inc.	16.9
Yum! Brands, Inc.	20.5
Zamp SA	28.6
Zensho Holdings Co., Ltd.	36.6
