	Note ESG
Hubei Energy Group Co., Ltd.	42.5
Hydro One Ltd.	15.1
Hydro Ottawa Holding, Inc.	39.1
Hydro-Québec	18.1
Iberdrola SA	23.1
IDACORP, Inc.	32.7
Ignitis grupe AB	21.0
India Clean Energy Holdings	18.3
Indiana Michigan Power Co.	34.6
Inner Mongolia Mengdian Huaneng Thermal Power Corp. Ltd.	52.9
Innergex Renewable Energy, Inc.	17.1
Interchile SA	29.1
Interconexion Eléctrica SA ESP	17.9
Interstate Power & Light Co.	38.5
Inversiones Aguas Metropolitanas SA	32.0
Investment Energy Resources Ltd.	28.3
Iren SpA	24.2
Israel Electric Corp. Ltd.	29.6
Italgas SpA	14.6
ITC Holdings Corp.	41.7
Izdemir Enerji Elektrik Üretim AS	28.7
Jaiprakash Power Ventures Ltd.	44.4
Jersey Central Power & Light Co.	23.9
Jiangxi Ganneng Co., Ltd.	58.0
Jilin Electric Power Co., Ltd.	61.8
Jinneng Holding Shanxi Electric Power Co,. Ltd.	58.5
John Sevier Combined Cycle Generation LLC	44.9
Jointo Energy Investment Co., Ltd. Hebei	57.5
JSW Energy Ltd.	23.2
K&O Energy Group, Inc.	39.6
Kallpa Generación SA	37.1
Kasumigaseki Capital Co., Ltd.	52.5
Kenon Holdings Ltd.	44.8
Kentucky Utilities Co.	31.3
Keppel Infrastructure Trust	31.0
Kontrolmatik Teknoloji Enerji ve Mühendislik AS	47.5
Korea East-West Power Co., Ltd.	38.4
Korea Electric Power Corp.	35.2
Korea Electric Power Industrial Development Co., Ltd.	52.3
Korea Gas Corp.	29.9
Korea Hydro & Nuclear Power Co. Ltd.	42.1
Korea Midland Power Co., Ltd.	38.5
Korea South-East Power Co. Ltd.	40.3
Korea Southern Power Co., Ltd.	31.7
Korea Western Power Co., Ltd.	31.4
KunLun Energy Co. Ltd.	30.8
KyungDong Invest Co., Ltd.	45.5
Kyushu Electric Power Co., Inc.	40.2
Labrador-Island Link Funding Trust	28.3
London Power Networks Plc	33.8
Luenmei Quantum Co., Ltd.	42.0
Mahanagar Gas Ltd.	33.0
Malakoff Corp. Bhd.	37.0
Manawa Energy Ltd.	45.9
Manila Electric Co.	31.0
Manila Water Co., Inc.	22.6
Margun Enerji Uretim Sanayi ve Ticaret AS	24.3
Mega First Corp. Bhd.	31.3
Mercury NZ Ltd.	18.4
Meridian Energy Ltd.	16.7
Metlen Energy & Metals SA	16.5
Metropolitan Edison Co.	28.0
MGE Energy, Inc.	28.1
MidAmerican Energy Co.	35.9
Middlesex Water Co.	34.7
Monongahela Power Co.	32.4
Montauk Renewables, Inc.	47.0
MSU Energy SA	23.4
MVM Energetika Zrt.	27.0
National Central Cooling Co. PJSC	22.6
National Gas & Industrialization Co.	41.4
National Gas Transmission PLC	29.9
National Grid North America, Inc.	21.2
National Grid Plc	16.3
naturenergie holding AG	34.2
Naturgy Energy Group SA	19.0
Nederlandse Gasunie NV	19.2
Neoen SA	21.5
Neoenergia SA	27.4
New Jersey Resources Corp.	36.2
New York State Electric & Gas Corp.	30.1
Newfoundland & Labrador Hydro	36.9
NextEnergy Solar Fund Ltd.	18.8
NextEra Energy Partners LP	25.0
NextEra Energy, Inc.	25.0
NHPC Ltd.	22.8
Nippon Gas Co., Ltd. (8174)	32.1
NiSource, Inc.	20.6
NLC India Ltd.	43.8
Nortegas Energía Distribución SA	26.5
North Battleford Power LP	35.7
North West Electricity Networks (Holdings) Ltd.	36.6
Northern Gas Networks Ltd.	30.0
Northern Natural Gas Co.	40.8
Northern Powergrid (Northeast) Plc	30.4
Northern Powergrid (Yorkshire) Plc	38.4
Northland Power, Inc.	25.3
Northumbrian Water Group Ltd.	33.6
Northwest Natural Holding Co.	24.9
NorthWestern Energy Group, Inc.	35.6
Nova Scotia Power, Inc.	35.7
NRG Energy, Inc.	34.3
Ntpc Ltd.	38.4
Nyocor Co., Ltd.	26.7
Odas Elektrik Uretim Sanayi Ticaret AS	51.8
OGE Energy Corp.	22.2
Oglethorpe Power Corp.	40.1
Oncor Electric Delivery Co. LLC	16.2
ONE Gas, Inc.	25.8
Ontario Power Generation, Inc.	12.7
OPC Energy Ltd.	41.5
Opdenergy Holding SA	20.8
Orazul Energy Perú SA	25.5
Origin Energy Ltd.	35.2
Ormat Technologies, Inc.	14.5
Osaka Gas Co., Ltd.	32.9
Otter Tail Corp.	43.9
OY Nofar Energy Ltd.	29.3
Ørsted A/S	20.0
PacifiCorp	45.1
Pampa Energía SA	28.6
PECO Energy Co.	24.6
Pennon Group Plc	11.5
Petronas Gas Bhd.	27.4
PG&E Corp.	30.5
PGE Polska Grupa Energetyczna SA	40.1
Pinnacle West Capital Corp.	26.0
Polenergia SA	17.5
Portland General Electric Co.	32.4
Potomac Electric Power Co.	27.6
Power Assets Holdings Ltd.	28.4
Power Grid Corp. of India Ltd.	22.1
PPL Corp.	26.9
PPL Electric Utilities Corp.	39.7
Progress Energy, Inc.	24.5
Promigas SA ESP	20.0
PSS Generation Station LP	34.1
PT Cikarang Listrindo Tbk	27.2
PT Paiton Energy	49.1
PT Pertamina Geothermal Energy Tbk	7.1
PT Perusahaan Gas Negara Tbk	20.2
PT Perusahaan Listrik Negara (Persero)	30.7
PTC India Ltd.	42.6
Public Power Corp. SA	41.2
Public Service Electric & Gas Co.	27.7
Public Service Enterprise Group, Inc.	21.3
Puget Energy, Inc.	28.9
Pure Cycle Corp.	32.4
Qatar Electricity & Water Co.	49.9
QazaqGaz National Co. JSC	18.2
Ratch Group Public Co. Ltd.	27.0
RattanIndia Enterprises Ltd.	46.1
Redeia Corporacion SA	8.2
Redes Energeticas Nacionais SGPS SA	15.1
Redexis SAU	25.3
Reliance Infrastructure Ltd.	42.5
Reliance Power Ltd.	42.3
ReNew Energy Global Plc	13.1
Renova, Inc. (Japan)	27.9
RGC Resources, Inc.	40.3
RH International (Singapore) Corp. Pte Ltd.	40.8
Romande Energie Holding SA	42.9
RTE Réseau de Transport d'Electricité SA	22.3
RWE AG	22.3
S.P.E.E.H. Hidroelectrica SA	33.6
Saavi Energia BV	55.5
Saavi Energía S de RL de CV	42.3
Sael Ltd.	23.2
Saibu Gas Holdings Co., Ltd.	39.3
Samchully Co., Ltd.	41.7
Samruk-Energy JSC	23.7
San Diego Gas & Electric Co.	31.6
San Miguel Global Power Holdings Corp.	43.5
Saudi Electricity Co.	35.1
Scatec ASA	11.2
Scotland Gas Networks Plc	30.9
Scottish Hydro Electric Transmission Plc	25.6
SDIC Power Holdings Co., Ltd.	51.7
Sembcorp Industries Ltd.	33.3
Sempra	23.2
Serena Energia SA	17.0
Severn Trent Plc	13.1
SGSP (Australia) Assets Pty Ltd.	34.3
Shaanxi Energy Investment Co., Ltd.	58.1
Shaanxi Provincial Natural Gas Co., Ltd.	41.8
Shamal Az-Zour Al-Oula Power & Water Co. KSCP	51.9
Shandong Hi-Speed New Energy Group Ltd.	19.8
Shanghai Dazhong Public Utilities (Group) Co., Ltd.	38.7
Shanghai Electric Power Co., Ltd.	53.1
Shenergy Co., Ltd.	50.5
Shenzhen Energy Group Co., Ltd.	44.0
Shenzhen Gas Corp. Ltd.	40.4
Shikoku Electric Power Co., Inc.	52.7
Shizuoka Gas Co., Ltd.	36.2
Sichuan Chuantou Energy Co., Ltd.	31.4
Sichuan New Energy Power Co., Ltd.	43.3
SJVN Ltd.	38.6
SJW Group	35.1
SN Nuclearelectrica SA	19.8
SNAM SpA	12.6
Sociedad de Transmisión Austral SA	57.5
Societatea Energetica Electrica SA	33.6
Solaria Energía y Medio Ambiente SA	16.3
South Jersey Industries, Inc.	33.9
Southern California Gas Co.	27.1
Southern Electric Power Distribution Plc	38.2
Southern Gas Networks Plc	29.1
Southern Power Co.	31.1
Southern Water Services Ltd.	27.9
Southwest Gas Corp.	32.1
Southwestern Electric Power Co.	45.8
SP Distribution Plc	23.1
SP Manweb Plc	25.4
SP PowerAssets Ltd.	46.8
SP Transmission Plc	39.0
SPCG Public Co. Ltd.	21.9
SPIC Industry-Finance Holdings Co., Ltd.	51.9
Spire Inc.	28.6
SPP - distribúcia as	34.3
SSE Plc	17.0
Star Energy Geothermal (Wayang Windu) Ltd.	21.3
Star Group LP	42.4
State Development & Investment Corp., Ltd.	44.6
State Grid Corp. of China	37.0
Statkraft AS	13.4
Statnett SF	17.4
Stedin Holding NV	25.6
Suburban Propane Partners LP	39.1
Sunrun, Inc.	19.9
Super Energy Corp. Public Co. Ltd.	24.2
Superior Plus Corp.	28.6
Swan Energy Ltd.	48.1
Taiwan Cogeneration Corp.	33.3
Talen Energy Corp.	46.4
Tata Power Co., Ltd.	37.4
TAURON Polska Energia SA	41.4
Telecom Plus Plc	13.8
Tenaga Nasional Bhd.	30.4
Tennessee Valley Authority	34.8
TenneT Holding BV	16.7
Teollisuuden Voima Oyj	14.0
Termocandelaria Power SA	50.3
Terna Energy SA	12.8
TERNA Rete Elettrica Nazionale SpA	7.9
TESS Holdings Co., Ltd.	27.9
Thames Water Ltd.	32.6
Thames Water Utilities Ltd.	29.6
The AES Corp.	25.0
The Chugoku Electric Power Co., Inc.	53.6
The Cleveland Electric Illuminating Co.	23.7
The Connecticut Light & Power Co.	26.5
The East Ohio Gas Co.	28.0
The Great Taipei Gas Corp.	28.3
The Hong Kong & China Gas Co., Ltd.	22.1
The Hub Power Co. Ltd.	39.9
The Kansai Electric Power Co., Inc.	41.0
The Okinawa Electric Power Co., Inc.	44.8
The Southern Co.	28.1
The York Water Co.	37.4
Tian Lun Gas Holdings Ltd.	38.4
TOHO GAS Co., Ltd.	42.4
Tohoku Electric Power Co., Inc.	37.6
Tokyo Electric Power Co. Holdings, Inc.	68.5
Tokyo Gas Co., Ltd.	33.4
Top Energy Co., Ltd. Shanxi	52.4
Top Resource Energy Co., Ltd.	51.6
Toronto Hydro Corp.	37.1
Torrent Power Ltd.	36.4
Towngas Smart Energy Co. Ltd.	23.7
TPI Polene Power Public Co., Ltd.	36.8
TransAlta Corp.	23.9
Transcontinental Gas Pipe Line Co. LLC	24.0
Transelec SA	28.0
Transmissora Aliança de Energia Elétrica SA	25.7
Transportadora de Gas Internacional SA ESP	24.0
Transpower New Zealand Ltd.	31.1
TTW Public Co. Ltd.	28.6
TXNM Energy, Inc.	43.5
UGI Corp.	28.2
UK Power Networks Holdings Ltd.	28.8
UMH Energy Partnership	25.6
Uniper SE	32.7
United Energy Distribution Pty Ltd.	38.9
United Utilities Group Plc	9.5
UNITIL Corp.	34.1
Vattenfall AB	24.5
Vector Ltd.	15.8
Vena Energy Capital Pte Ltd.	8.5
Veolia Environnement SA	19.8
VERBUND AG	18.8
Vier Gas Transport GmbH	25.7
Vistra Corp.	29.3
Voltalia	15.0
Wales & West Utilities Ltd.	33.5
WEC Energy Group, Inc.	22.8
Wessex Water Services Ltd.	17.8
West Holdings Corp.	31.7
WHA Utilities & Power Public Co. Ltd.	27.2
Wisconsin Electric Power Co.	28.3
Xcel Energy, Inc.	26.6
Xinyi Energy Holdings Ltd.	22.4
Yorkshire Water Services Ltd.	26.3
YPF Energía Eléctrica SA	29.3
YTL Corp Bhd.	41.7
YTL Power International Bhd.	55.5
Yukon Development Corp.	51.3
Zapadoslovenska Energetika as	20.9
Zelestra Corporacion SAU	8.3
Zhejiang Energy International Ltd.	54.3
Zhejiang Zheneng Electric Power Co., Ltd.	48.3
Zhongshan Public Utilities Group Co., Ltd.	43.4
Zhongyu Energy Holdings Ltd.	31.7
Zorlu Enerji Elektrik Üretim AS	24.0
