	Note ESG
Lian Hwa Foods Corp.	39.7
Lien Hwa Industrial Holdings Corp.	27.3
Ligao Foods Co., Ltd.	41.9
Limoneira Co.	37.1
Lotte Chilsung Beverage Co., Ltd.	27.1
Lotte Wellfood Co., Ltd.	27.0
Lotus Bakeries NV	27.6
Louis Dreyfus Co. BV	30.5
LT Foods Ltd.	41.8
LT Group, Inc.	27.3
Luoniushan Co., Ltd.	46.5
Luzhou Laojiao Co., Ltd.	29.7
M. Dias Branco SA Industria e Comercio de Alimentos	27.4
Maeil Dairies Co., Ltd.	31.1
Maple Leaf Foods, Inc.	33.6
Marfrig Global Foods SA	37.8
Marico Ltd.	20.7
Mars, Inc.	37.3
Marudai Food Co., Ltd.	44.7
Maruha Nichiro Corp.	31.8
Masan Group Corp.	41.2
McCain Foods Ltd.	30.0
McCormick & Co., Inc.	26.0
Mead Johnson Nutrition Co.	35.3
MEGMILK SNOW BRAND Co., Ltd.	27.8
Meihua Holdings Group Co., Ltd.	36.6
Meiji Holdings Co., Ltd.	23.3
Mezzan Holding Co. K.S.C.	45.8
MGP Ingredients, Inc.	28.2
MHP SE	43.2
Minerva SA	25.6
Mission Produce, Inc.	44.1
Mitsui DM Sugar Holdings Co., Ltd.	40.3
Molson Coors Beverage Co.	28.0
Monde Nissin Corp.	30.5
Mondelez International, Inc.	22.0
Monster Beverage Corp.	32.9
Morinaga & Co., Ltd.	23.4
Morinaga Milk Industry Co., Ltd.	23.5
Mowi ASA	20.8
Mrs. Bector's Food Specialities Ltd.	34.3
MSM Malaysia Holdings Bhd.	27.0
Muyuan Foods Co., Ltd.	46.0
Nagatanien Holdings Co., Ltd.	44.4
Namchow Holdings Co., Ltd.	28.6
NAMYANG DAIRY PRODUCTS Co., Ltd.	42.7
National Agricultural Development Co.	46.7
National Beverage Corp.	31.7
Nature's Sunshine Products, Inc.	32.7
NATURECELL Co., Ltd.	38.7
Nayuki Holdings Ltd.	31.0
Nestlé (Malaysia) Bhd.	23.9
Nestlé India Ltd.	24.1
Nestlé SA	22.7
New Hope Liuhe Co., Ltd.	54.5
NH Foods Ltd.	39.8
Nichirei Corp.	27.0
NIPPN Corp.	31.7
Nippon Beet Sugar Manufacturing Co., Ltd.	42.4
Nisshin Seifun Group, Inc.	29.2
Nissin Foods Co., Ltd.	27.3
Nissin Foods Holdings Co., Ltd.	23.8
Nissui Corp.	32.9
Nomad Foods Ltd.	28.8
Nongfu Spring Co., Ltd.	25.2
Nongshim Co., Ltd.	37.2
Oatly Group AB	25.3
Oceana Group Ltd.	31.2
OFI Group Ltd.	21.4
Olam Group Ltd.	39.3
Ölgerðin Egill Skallagrímsson hf	24.7
Olvi Oyj	17.6
Orient Group, Inc.	49.8
ORION Corp.	37.1
ORION Holdings Corp. (Korea)	38.6
ORIOR AG	31.0
Orkla ASA	18.0
Osotspa Public Co. Ltd.	26.6
OTTOGI Corp.	29.2
Patanjali Foods Ltd.	36.7
Pengdu Agriculture & Animal Husbandry Co., Ltd.	48.4
PepsiCo, Inc.	20.8
Pernod Ricard SA	17.2
Philip Morris CR as	21.2
Philip Morris International, Inc.	26.6
Pilgrim's Pride Corp.	45.4
Pinar Süt Mamulleri Sanayii AS	37.2
Post Holdings, Inc.	34.3
PPB Group Bhd.	38.7
Premier Foods Plc	19.8
Premium Brands Holdings Corp.	31.2
Prima Meat Packers, Ltd.	29.4
Primo Water Corp.	30.9
PT Astra Agro Lestari Tbk	41.2
PT Austindo Nusantara Jaya Tbk	15.5
PT Charoen Pokphand Indonesia Tbk	42.6
PT Dharma Satya Nusantara Tbk	32.0
PT Garudafood Putra Putri Jaya Tbk	35.3
PT Gudang Garam Tbk	43.6
PT Hanjaya Mandala Sampoerna Tbk	27.3
PT Indofood CBP Sukses Makmur Tbk	34.8
PT Indofood Sukses Makmur Tbk	36.1
PT Japfa Comfeed Indonesia Tbk	43.7
PT Mayora Indah Tbk	35.2
PT Pantai Indah Kapuk Dua Tbk	39.6
PT Perusahaan Perkebunan London Sumatra Indonesia Tbk	38.2
PT Sawit Sumbermas Sarana Tbk	34.3
PT Sumber Tani Agung Resources Tbk	38.3
PT Triputra Agro Persada Tbk	29.3
PT Tunas Baru Lampung Tbk	47.3
PT Ultrajaya Milk Industry & Trading Co. Tbk	38.0
Qianhe Condiment & Food Co., Ltd.	38.8
Qinghai Huzhu TianYouDe Highland Barley Spirit Co., Ltd.	33.5
Qinqin Foodstuffs Group (Cayman) Co. Ltd.	40.3
QL Resources Bhd.	39.4
R&B Food Supply Public Co., Ltd.	33.5
Radico Khaitan Ltd.	29.0
Raisio Oyj	24.6
Raizen Energia SA	32.4
Refresco Group BV	33.2
Rémy Cointreau SA	24.3
Reynolds American, Inc.	29.7
Ridley Corp. Ltd.	40.6
Riken Vitamin Co., Ltd.	29.0
RLX Technology, Inc.	28.6
Rock Field Co., Ltd.	42.5
Rogers Sugar, Inc.	33.6
Rokko Butter Co., Ltd.	36.8
Royal Plus Public Co., Ltd.	28.1
Royal Unibrew A/S	18.0
Sakata Seed Corp.	44.2
SalMar ASA	18.9
Samyang Corp.	47.8
SAMYANG FOODS Co., Ltd.	38.4
Samyang Holdings Corp.	43.0
San Miguel Food & Beverage, Inc.	30.6
Sanford Ltd.	27.0
Sanquan Foods Co., Ltd.	38.7
São Martinho SA	27.8
Sappe Public Co., Ltd.	30.8
Sapporo Holdings Ltd.	24.7
Saputo, Inc.	31.7
Sarawak Oil Palms Bhd.	33.1
Saudi Fisheries Co.	48.1
Saudia Dairy & Foodstuff Co.	32.4
Savencia SA	43.0
Savola Group	44.8
Scales Corp. Ltd.	35.6
Scandi Standard AB	24.4
Scandinavian Tobacco Group A/S	33.1
SD Guthrie Bhd.	23.1
Seaboard Corp.	49.9
Select Harvests Ltd.	30.0
Seneca Foods Corp.	39.2
Shandong Denghai Seeds Co., Ltd.	46.1
Shandong Longda Meishi Co., Ltd.	48.9
Shandong Xiantan Co., Ltd.	47.3
Shandong Yisheng Livestock & Poultry Breeding Co., Ltd.	45.1
Shanghai Bairun Investment Holding Group Co., Ltd.	35.3
Shanxi Xinghuacun Fen Wine Factory Co., Ltd.	31.2
Shede Spirits Co., Ltd.	28.7
Shenzhen Agricultural Products Group Co., Ltd.	45.5
Shiyue Daotian Group Co. Ltd.	42.7
Showa Sangyo Co., Ltd.	31.9
Shree Renuka Sugars Ltd.	41.7
Sichuan Swellfun Co., Ltd.	28.4
Sichuan Teway Food Group Co., Ltd.	38.6
Sigma Alimentos SA de CV	24.6
SLC Agricola SA	39.0
Smithfield Foods, Inc.	27.0
Société de Fabrication de Boissons de Tunisie SA	37.0
Sovos Brands, Inc.	45.8
SPC SAMLIP CO., LTD.	46.6
Srinanaporn Marketing PCL	36.1
Standard Foods Corp.	23.3
Starzen Co., Ltd.	42.0
STI Foods Holdings, Inc.	41.3
Strauss Group Ltd.	30.0
Südzucker AG	33.7
SunOpta, Inc.	34.7
Suntory Beverage & Food Ltd.	28.3
Suntory Holdings Ltd.	19.8
Synlait Milk Ltd.	33.0
Taiyen Biotech Co. Ltd.	31.3
Takara Holdings, Inc.	22.2
Tangrenshen Group Co., Ltd.	55.1
Tanmiah Food Co.	44.8
Taokaenoi Food & Marketing Public Co. Ltd.	32.6
Tat Gida Sanayi AS	31.2
Tata Consumer Products Ltd.	26.0
Tate & Lyle Plc	25.1
Thai Beverage Public Co., Ltd.	20.0
Thai Union Group Public Co. Ltd.	36.0
Thai Vegetable Oil Public Co. Ltd.	25.0
Thaifoods Group Public Co. Ltd.	45.1
The a2 Milk Co. Ltd.	31.6
The Andersons, Inc.	40.0
The Bombay Burmah Trading Corp. Ltd.	43.1
The Central America Bottling Corp.	26.8
The Coca-Cola Co.	24.2
The First Milling Co.	46.3
The Hain Celestial Group, Inc.	27.7
The Hershey Co.	25.0
The J. M. Smucker Co.	27.2
The Kraft Heinz Co.	31.2
The Nisshin OilliO Group, Ltd.	34.0
The Simply Good Foods Co.	24.7
The Vita Coco Co., Inc.	30.1
Tiger Brands Ltd.	27.2
Tilaknagar Industries Ltd.	26.9
Tingyi (Cayman Islands) Holding Corp.	35.5
Toly Bread Co. Ltd.	41.1
Tootsie Roll Industries, Inc.	37.0
Toyo Sugar Refining Co. Ltd.	42.6
Toyo Suisan Kaisha, Ltd.	37.2
Treasury Wine Estates Ltd.	25.2
TreeHouse Foods, Inc.	29.4
Triveni Engineering & Industries Ltd.	34.9
Tropical Canning (Thailand) Public Co. Ltd.	40.9
TSH Resources Bhd.	40.9
Tsingtao Brewery Co., Ltd.	28.9
TTET Union Corp.	29.7
Tukas Gida Sanayi ve Ticaret AS	45.1
Turning Point Brands, Inc.	34.2
Tyson Foods, Inc.	36.8
Ülker Bisküvi Sanayi AS	23.6
Uni-President China Holdings Ltd.	33.4
Uni-President Enterprises Corp.	28.8
United Breweries Ltd.	22.5
United Plantations Bhd.	34.4
United Spirits Ltd.	19.8
Universal Corp.	37.7
Universal Robina Corp.	37.0
UTZ Brands, Inc.	40.8
Varun Beverages Ltd.	34.0
Vector Group Ltd.	37.7
Vietnam Dairy Products Corp.	28.1
Viña Concha y Toro SA	24.6
Vinh Hoan Corp	39.2
Vital Farms, Inc.	28.3
Vitasoy International Holdings Ltd.	25.8
Viterra Ltd. (Jersey)	25.7
VST Industries Ltd.	30.4
Want Want China Holdings Ltd.	35.6
WARABEYA NICHIYO HOLDINGS Co., Ltd.	41.9
Wei Chuan Foods Corp.	26.6
Weilong Delicious Global Holdings Ltd.	38.1
Wellhope Foods Co., Ltd.	50.4
WELLNEO SUGAR Co. Ltd.	39.9
Wen's Foodstuff Group Co., Ltd.	50.5
Westrock Coffee Co.	33.9
WH Group Ltd. (HK)	34.1
Wilmar International Ltd.	29.8
Winall Hi-tech Seed Co., Ltd.	49.9
WK Kellogg Co.	39.3
Wuliangye Yibin Co., Ltd.	29.6
Yakult Honsha Co., Ltd.	28.5
Yamazaki Baking Co., Ltd.	43.7
Yan Tai Shuang Ta Food Co., Ltd.	43.2
Yankershop Food Co., Ltd.	38.6
Yantai Changyu Pioneer Wine Co., Ltd.	33.8
Yayla Agro Gida Sanayi ve Ticaret AS	44.8
Yihai International Holding Ltd.	31.9
Yihai Kerry Arawana Holdings Co., Ltd.	33.3
Yuan Longping High-Tech Agriculture Co., Ltd.	54.9
Yukiguni Maitake Co., Ltd.	46.1
Zad Holding Co.	40.8
Zevia PBC	32.9
Zhou Hei Ya International Holdings Co. Ltd.	39.9
ZJLD Group, Inc.	27.7
Zydus Wellness Ltd.	27.9
