name	grade	country	industry	employees	roe	Year	roe_num	global_industry	continent	Ticker	maxAge	totalEsg	environmentScore	socialScore	governanceScore	ratingYear	ratingMonth	highestControversy	relatedControversy	adult	esgPerformance_LAG_PERF	esgPerformance_LEAD_PERF	esgPerformance_LAG_PERF	esgPerformance_LEAD_PERF	animalTesting_True	gambling_True	gmo_True	nuclear_True
Alimak Group AB	22.1	Sweden	Machinery	2,968	7.58%	2024	7.58	Industrial and manufacturing sectors	Europe	AIG	86400.0	23.6	1.95	11.0	10.64	2025.0	1.0	2.0	['Business Ethics Incidents;Customer Incidents']	False	0	0	0	0	0	0	0	0
Alkermes Plc	22.8	Ireland	Pharmaceuticals	2,100	29.23%	2024	29.23	Healthcare and well-being	Europe	ALKS	86400.0	22.85	1.81	15.97	5.07	2025.0	1.0	0.0	['Public Policy Incidents;Social Supply Chain Incidents;Product & Service Incidents;Environmental Supply Chain Incidents;Operations Incidents;Customer Incidents;Society & Community Incidents;Business Ethics Incidents;Employee Incidents;Governance Incidents']	False	0	0	0	0	1	0	0	0
Allegro MicroSystems, Inc.	14.1	United States of America	Semiconductors	4,593	-2.44%	2024	-2.44	Technology sectors	North America	ALGM	86400.0	14.08	4.24	4.33	5.51	2025.0	1.0	0.0	['Product & Service Incidents;Customer Incidents;Governance Incidents;Employee Incidents;Public Policy Incidents;Operations Incidents;Business Ethics Incidents;Society & Community Incidents;Environmental Supply Chain Incidents;Social Supply Chain Incidents']	False	1	0	1	0	0	0	0	0
Alliant Energy Corp.	17.1	United States of America	Utilities	3,281	9.65%	2024	9.65	Utilities	North America	LNT	86400.0	17.11	6.79	5.25	5.07	2025.0	1.0	0.0	['Public Policy Incidents;Social Supply Chain Incidents;Product & Service Incidents;Customer Incidents;Operations Incidents;Governance Incidents;Business Ethics Incidents;Society & Community Incidents;Employee Incidents;Environmental Supply Chain Incidents']	False	1	0	1	0	0	0	0	0
Allison Transmission Holdings, Inc.	29.4	United States of America	Machinery	3,700	51.76%	2024	51.76	Industrial and manufacturing sectors	North America	ALSN	86400.0	29.37	13.05	10.66	5.66	2025.0	1.0	0.0	['Public Policy Incidents;Operations Incidents;Employee Incidents;Society & Community Incidents;Product & Service Incidents;Social Supply Chain Incidents;Governance Incidents;Environmental Supply Chain Incidents;Customer Incidents;Business Ethics Incidents']	False	0	0	0	0	0	0	0	0
Alphawave IP Group Plc	29.6	United Kingdom	Semiconductors	896	-17.71%	2024	-17.71	Technology sectors	Europe	AIG	86400.0	23.6	1.95	11.0	10.64	2025.0	1.0	2.0	['Business Ethics Incidents;Customer Incidents']	False	0	0	0	0	0	0	0	0
Alten SA	17.6	France	Software & Services	58,300	11.94%	2024	11.94	Technology sectors	Europe	TIGO	86400.0	20.98	4.53	13.41	3.04	2025.0	1.0	1.0	['Customer Incidents;Business Ethics Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Amazon.com, Inc.	26.1	United States of America	Retailing	1,525,000	22.56%	2024	22.56	Consumer sectors (B2C)	North America	AMZN	86400.0	26.1	8.3	11.05	6.75	2025.0	1.0	3.0	['Customer Incidents;Social Supply Chain Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Amcor Plc	14.7	United Kingdom	Containers & Packaging	35,000	19.58%	2024	19.58	Industrial and manufacturing sectors	Europe	AMCR	86400.0	14.69	11.21	0.95	2.54	2025.0	1.0	1.0	['Employee Incidents;Business Ethics Incidents']	False	1	0	1	0	0	0	0	0
Ameren Corp.	27.0	United States of America	Utilities	9,372	9.84%	2024	9.84	Utilities	North America	AEE	86400.0	26.97	13.09	9.82	4.05	2025.0	1.0	2.0	['Operations Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	1
American Tower Corp.	12.6	United States of America	Real Estate	5,643	17.69%	2024	17.69	Real estate and related services	North America	AMT	86400.0	12.62	4.22	3.93	4.47	2025.0	1.0	1.0	['Customer Incidents;Business Ethics Incidents;Society & Community Incidents']	False	1	0	1	0	0	0	0	0
