maxAge,totalEsg,environmentScore,socialScore,governanceScore,ratingYear,ratingMonth,highestControversy,peerCount,esgPerformance,peerGroup,relatedControversy,peerEsgScorePerformance,peerGovernancePerformance,peerSocialPerformance,peerEnvironmentPerformance,peerHighestControversyPerformance,percentile,environmentPercentile,socialPercentile,governancePercentile,adult,alcoholic,animalTesting,catholic,controversialWeapons,smallArms,furLeather,gambling,gmo,militaryContract,nuclear,pesticides,palmOil,coal,tobacco,company_ticker
86400,25.26,7.24,11.65,6.38,2025,1,3.0,73,AVG_PERF,Food Retailers,['Customer Incidents'],"{'min': 11.64, 'avg': 22.322465753424655, 'max': 33.81}","{'min': 1.95, 'avg': 4.587142857142857, 'max': 7.84}","{'min': 6.07, 'avg': 10.677380952380952, 'max': 15.8}","{'min': 1.92, 'avg': 6.567857142857142, 'max': 13.06}","{'min': 0.0, 'avg': 1.3972602739726028, 'max': 3.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,WMT
86400,15.57,5.49,6.0,4.08,2025,1,2.0,120,LAG_PERF,Semiconductors,['Business Ethics Incidents;Customer Incidents'],"{'min': 8.4, 'avg': 23.415333333333344, 'max': 40.69}","{'min': 2.62, 'avg': 5.332600000000001, 'max': 8.77}","{'min': 2.41, 'avg': 5.937200000000001, 'max': 10.28}","{'min': 2.6, 'avg': 7.631600000000001, 'max': 17.41}","{'min': 0.0, 'avg': 0.5666666666666667, 'max': 3.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,INTC
86400,12.91,0.4,7.64,4.87,2025,1,2.0,238,LAG_PERF,Technology Hardware,['Customer Incidents;Business Ethics Incidents;Social Supply Chain Incidents'],"{'min': 4.46, 'avg': 16.079411764705867, 'max': 29.96}","{'min': 0.76, 'avg': 4.899999999999998, 'max': 9.93}","{'min': 1.4, 'avg': 5.197325581395348, 'max': 12.56}","{'min': 0.17, 'avg': 3.3526744186046504, 'max': 10.47}","{'min': 0.0, 'avg': 0.5546218487394958, 'max': 3.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,CSCO
86400,18.44,3.04,9.98,5.42,2025,1,3.0,75,LAG_PERF,Textiles & Apparel,['Employee Incidents;Social Supply Chain Incidents'],"{'min': 7.85, 'avg': 16.599600000000006, 'max': 25.69}","{'min': 0.76, 'avg': 4.652500000000001, 'max': 8.38}","{'min': 3.92, 'avg': 7.735312499999998, 'max': 10.66}","{'min': 0.45, 'avg': 2.7190625, 'max': 5.56}","{'min': 0.0, 'avg': 1.08, 'max': 3.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,NKE
86400,18.28,0.13,9.7,8.45,2025,1,2.0,355,LAG_PERF,Diversified Financials,['Customer Incidents;Business Ethics Incidents'],"{'min': 6.07, 'avg': 23.837521126760574, 'max': 42.55}","{'min': 2.0, 'avg': 9.851349693251533, 'max': 19.02}","{'min': 0.21, 'avg': 8.88687116564417, 'max': 15.75}","{'min': 0.0, 'avg': 1.536012269938649, 'max': 3.97}","{'min': 0.0, 'avg': 0.6507042253521127, 'max': 4.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,AXP
86400,28.33,10.17,11.77,6.39,2025,1,2.0,268,AVG_PERF,Machinery,['Customer Incidents;Society & Community Incidents;Employee Incidents'],"{'min': 10.6, 'avg': 27.151791044776107, 'max': 45.06}","{'min': 1.62, 'avg': 5.537226890756303, 'max': 10.59}","{'min': 5.09, 'avg': 10.77210084033613, 'max': 17.71}","{'min': 2.03, 'avg': 8.234453781512604, 'max': 14.76}","{'min': 0.0, 'avg': 0.6380597014925373, 'max': 4.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,CAT
86400,20.55,0.78,10.54,9.23,2025,1,1.0,180,AVG_PERF,Insurance,['Customer Incidents;Employee Incidents;Business Ethics Incidents;Product & Service Incidents'],"{'min': 10.55, 'avg': 23.16800000000001, 'max': 38.43}","{'min': 2.01, 'avg': 9.229304347826083, 'max': 15.8}","{'min': 5.01, 'avg': 9.858608695652178, 'max': 14.17}","{'min': 0.04, 'avg': 1.3224347826086953, 'max': 2.94}","{'min': 0.0, 'avg': 0.8555555555555555, 'max': 4.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,TRV
86400,19.62,11.92,3.37,4.33,2025,1,3.0,183,LAG_PERF,Chemicals,['Society & Community Incidents'],"{'min': 11.63, 'avg': 28.305846994535514, 'max': 49.5}","{'min': 1.26, 'avg': 5.137083333333332, 'max': 8.38}","{'min': 0.89, 'avg': 6.130937499999999, 'max': 14.31}","{'min': 5.42, 'avg': 13.74072916666667, 'max': 20.78}","{'min': 0.0, 'avg': 0.8797814207650273, 'max': 4.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,DOW
86400,15.57,1.92,8.48,5.16,2025,1,2.0,73,LAG_PERF,Food Retailers,['Employee Incidents;Governance Incidents;Business Ethics Incidents;Customer Incidents;Society & Community Incidents'],"{'min': 11.64, 'avg': 22.322465753424655, 'max': 33.81}","{'min': 1.95, 'avg': 4.587142857142857, 'max': 7.84}","{'min': 6.07, 'avg': 10.677380952380952, 'max': 15.8}","{'min': 1.92, 'avg': 6.567857142857142, 'max': 13.06}","{'min': 0.0, 'avg': 1.3972602739726028, 'max': 3.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,WBA
86400,22.76,1.83,14.88,6.05,2025,1,3.0,504,AVG_PERF,Pharmaceuticals,['Business Ethics Incidents'],"{'min': 8.52, 'avg': 28.07982142857142, 'max': 41.58}","{'min': 2.45, 'avg': 6.2997202797202805, 'max': 10.91}","{'min': 3.32, 'avg': 13.62909090909091, 'max': 27.87}","{'min': 0.17, 'avg': 2.307482517482517, 'max': 6.95}","{'min': 0.0, 'avg': 0.49404761904761907, 'max': 5.0}",,,,,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,AMGN
